pipe:4, 9

169.811 2.427 -12.054
169.808 2.43 -12.089
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
179.808 -179.911 -179.886
179.798 -179.901 -179.868
179.801 -179.899 -179.841
179.805 -179.907 -179.854
179.816 -179.898 -179.859
179.816 -179.921 -179.877
179.82 -179.921 -179.872
179.81 -179.914 -179.843
179.82 -179.919 -179.854
179.826 -179.96 -179.859
179.815 -179.948 -179.856
179.811 -179.923 -179.86
179.81 -179.926 -179.873
179.816 -179.939 -179.883
179.816 -179.938 -179.876
179.814 -179.929 -179.877
179.797 -179.945 -179.874
179.796 -179.933 -179.879
179.787 -179.904 -179.861
179.797 -179.912 -179.879
179.791 -179.923 -179.895
179.774 -179.919 -179.873
timer_u: , 2.96439e-323 , timer_m: , 1.46186e+265 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16454 , timer_m: , 16.454 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16740 , timer_m: , 16.74 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16863 , timer_m: , 16.863 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15789 , timer_m: , 15.789 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15725 , timer_m: , 15.725 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16337 , timer_m: , 16.337 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16383 , timer_m: , 16.383 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16071 , timer_m: , 16.071 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15965 , timer_m: , 15.965 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15815 , timer_m: , 15.815 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15654 , timer_m: , 15.654 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16125 , timer_m: , 16.125 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16090 , timer_m: , 16.09 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15969 , timer_m: , 15.969 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15793 , timer_m: , 15.793 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16158 , timer_m: , 16.158 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16076 , timer_m: , 16.076 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16278 , timer_m: , 16.278 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16643 , timer_m: , 16.643 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16734 , timer_m: , 16.734 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16424 , timer_m: , 16.424 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16247 , timer_m: , 16.247 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15995 , timer_m: , 15.995 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15673 , timer_m: , 15.673 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15504 , timer_m: , 15.504 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15889 , timer_m: , 15.889 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15907 , timer_m: , 15.907 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 9601 , timer_m: , 9.601 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 8852 , timer_m: , 8.852 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 8848 , timer_m: , 8.848 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 8945 , timer_m: , 8.945 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 8619 , timer_m: , 8.619 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 8941 , timer_m: , 8.941 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 8996 , timer_m: , 8.996 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 9138 , timer_m: , 9.138 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
